nazwa,lat,lon,data,PM25,temperatura,wilgotnosc
Gliwice,50.31,18.67,2025-01-05,27.8,0.5,58.6
Mikołów,50.179,18.904,2025-01-05,32.5,8.8,72.4
Ruda Śląska,50.2584,18.8563,2025-01-05,38.5,3.8,58.2
Tarnowskie Góry,50.4455,18.8615,2025-01-05,30.1,7.6,42.0
Pyskowice,50.3956,18.6345,2025-01-05,29.4,6.4,54.2
Katowice,50.2643,19.0235,2025-01-06,33.6,-0.8,74.8
Sosnowiec,50.2779,19.1267,2025-01-06,24.3,-9.1,61.9
Dąbrowa Górnicza,50.3215,19.1949,2025-01-06,34.9,-0.3,69.5
Czeladź,50.3173,19.0705,2025-01-06,35.2,-4.5,45.6
Mysłowice,50.2422,19.1383,2025-01-06,33.8,2.4,62.7
Piekary Śląskie,50.3802,18.9265,2025-01-06,26.2,3.8,51.2
Chorzów,50.3058,18.9742,2025-01-06,37.5,-4.1,61.9
Bytom,50.35,18.91,2025-01-06,37.9,1.0,56.8
Zabrze,50.3249,18.7858,2025-01-06,39.0,4.4,86.4
Gliwice,50.31,18.67,2025-01-06,27.6,0.5,58.5
Mikołów,50.179,18.904,2025-01-06,32.3,9.1,75.6
Ruda Śląska,50.2584,18.8563,2025-01-06,39.7,3.7,60.6
Tarnowskie Góry,50.4455,18.8615,2025-01-06,30.5,7.7,42.1
Pyskowice,50.3956,18.6345,2025-01-06,30.2,6.7,52.5
Katowice,50.2643,19.0235,2025-01-07,34.7,-0.8,75.1
Sosnowiec,50.2779,19.1267,2025-01-07,23.6,-9.5,59.3
Dąbrowa Górnicza,50.3215,19.1949,2025-01-07,36.0,-0.3,69.9
Czeladź,50.3173,19.0705,2025-01-07,34.8,-4.3,44.9
Mysłowice,50.2422,19.1383,2025-01-07,33.4,2.5,61.0
Piekary Śląskie,50.3802,18.9265,2025-01-07,25.3,3.9,52.2
Chorzów,50.3058,18.9742,2025-01-07,35.9,-4.1,62.5
Bytom,50.35,18.91,2025-01-07,38.3,1.0,57.8
Zabrze,50.3249,18.7858,2025-01-07,37.3,4.3,83.9
Gliwice,50.31,18.67,2025-01-07,27.6,0.5,59.8
Mikołów,50.179,18.904,2025-01-07,33.5,9.4,79.3
Ruda Śląska,50.2584,18.8563,2025-01-07,37.9,3.8,63.6
Tarnowskie Góry,50.4455,18.8615,2025-01-07,29.3,7.7,40.6
Pyskowice,50.3956,18.6345,2025-01-07,29.7,6.9,53.4
Katowice,50.2643,19.0235,2025-01-08,36.0,-0.8,74.6
Sosnowiec,50.2779,19.1267,2025-01-08,23.6,-9.8,58.5
Dąbrowa Górnicza,50.3215,19.1949,2025-01-08,35.2,-0.3,72.3
Czeladź,50.3173,19.0705,2025-01-08,36.5,-4.1,43.6
Mysłowice,50.2422,19.1383,2025-01-08,32.0,2.6,63.8
Piekary Śląskie,50.3802,18.9265,2025-01-08,24.2,3.8,49.8
Chorzów,50.3058,18.9742,2025-01-08,34.2,-4.2,63.5
Bytom,50.35,18.91,2025-01-08,38.1,1.0,60.5
Zabrze,50.3249,18.7858,2025-01-08,37.9,4.2,79.7
Gliwice,50.31,18.67,2025-01-08,26.7,0.5,60.8
Mikołów,50.179,18.904,2025-01-08,33.4,9.8,80.4
Ruda Śląska,50.2584,18.8563,2025-01-08,37.1,3.9,63.2
Tarnowskie Góry,50.4455,18.8615,2025-01-08,30.2,8.0,40.8
Pyskowice,50.3956,18.6345,2025-01-08,28.3,6.9,56.0
Katowice,50.2643,19.0235,2025-01-09,36.0,-0.8,77.0
Sosnowiec,50.2779,19.1267,2025-01-09,24.3,-9.9,58.9
Dąbrowa Górnicza,50.3215,19.1949,2025-01-09,34.7,-0.3,70.3
Czeladź,50.3173,19.0705,2025-01-09,36.8,-4.0,43.7
Mysłowice,50.2422,19.1383,2025-01-09,31.1,2.6,66.9
Piekary Śląskie,50.3802,18.9265,2025-01-09,23.7,3.9,52.1
Chorzów,50.3058,18.9742,2025-01-09,35.0,-4.3,65.1
Bytom,50.35,18.91,2025-01-09,36.5,1.0,59.4
Zabrze,50.3249,18.7858,2025-01-09,39.6,4.1,77.1
Gliwice,50.31,18.67,2025-01-09,25.9,0.5,57.9
Mikołów,50.179,18.904,2025-01-09,32.4,9.4,84.1
Ruda Śląska,50.2584,18.8563,2025-01-09,38.8,3.7,64.5
Tarnowskie Góry,50.4455,18.8615,2025-01-09,31.1,7.7,41.7
Pyskowice,50.3956,18.6345,2025-01-09,27.5,6.6,56.4
Katowice,50.2643,19.0235,2025-01-10,36.7,-0.8,75.5
Sosnowiec,50.2779,19.1267,2025-01-10,25.0,-10.2,60.1
Dąbrowa Górnicza,50.3215,19.1949,2025-01-10,36.2,-0.3,69.2
Czeladź,50.3173,19.0705,2025-01-10,35.3,-3.8,41.7
Mysłowice,50.2422,19.1383,2025-01-10,30.2,2.7,69.0
Piekary Śląskie,50.3802,18.9265,2025-01-10,24.1,3.7,52.8
Chorzów,50.3058,18.9742,2025-01-10,33.5,-4.5,66.7
Bytom,50.35,18.91,2025-01-10,35.1,1.0,57.1
Zabrze,50.3249,18.7858,2025-01-10,39.9,4.1,78.0
Gliwice,50.31,18.67,2025-01-10,26.1,0.5,59.8
Mikołów,50.179,18.904,2025-01-10,32.4,9.7,85.6
Ruda Śląska,50.2584,18.8563,2025-01-10,37.3,3.7,67.2
Tarnowskie Góry,50.4455,18.8615,2025-01-10,30.0,7.6,40.4
Pyskowice,50.3956,18.6345,2025-01-10,27.9,6.5,59.0
Katowice,50.2643,19.0235,2025-01-11,37.4,-0.8,72.3
Sosnowiec,50.2779,19.1267,2025-01-11,23.8,-9.9,60.0
Dąbrowa Górnicza,50.3215,19.1949,2025-01-11,36.6,-0.3,67.6
Czeladź,50.3173,19.0705,2025-01-11,35.5,-3.9,43.3
Mysłowice,50.2422,19.1383,2025-01-11,30.5,2.8,68.1
Piekary Śląskie,50.3802,18.9265,2025-01-11,23.0,3.6,51.3
Chorzów,50.3058,18.9742,2025-01-11,32.1,-4.7,69.1
Bytom,50.35,18.91,2025-01-11,35.1,1.0,55.4
Zabrze,50.3249,18.7858,2025-01-11,40.5,4.1,76.0
Gliwice,50.31,18.67,2025-01-11,24.9,0.5,62.3
Mikołów,50.179,18.904,2025-01-11,33.1,9.4,82.1
Ruda Śląska,50.2584,18.8563,2025-01-11,36.4,3.6,67.7
Tarnowskie Góry,50.4455,18.8615,2025-01-11,30.5,7.8,39.2
Pyskowice,50.3956,18.6345,2025-01-11,28.0,6.7,56.6
Katowice,50.2643,19.0235,2025-01-12,38.8,-0.8,75.6
Sosnowiec,50.2779,19.1267,2025-01-12,23.4,-10.0,57.9
Dąbrowa Górnicza,50.3215,19.1949,2025-01-12,36.0,-0.3,67.9
Czeladź,50.3173,19.0705,2025-01-12,35.3,-3.9,42.6
Mysłowice,50.2422,19.1383,2025-01-12,31.6,2.9,69.2
Piekary Śląskie,50.3802,18.9265,2025-01-12,22.9,3.6,53.3
Chorzów,50.3058,18.9742,2025-01-12,32.8,-4.6,69.9
Bytom,50.35,18.91,2025-01-12,33.9,1.0,57.8
Zabrze,50.3249,18.7858,2025-01-12,41.0,4.0,75.1
Gliwice,50.31,18.67,2025-01-12,25.0,0.5,61.9
Mikołów,50.179,18.904,2025-01-12,31.8,9.0,84.3
Ruda Śląska,50.2584,18.8563,2025-01-12,36.4,3.4,65.1
Tarnowskie Góry,50.4455,18.8615,2025-01-12,31.5,7.8,38.4
Pyskowice,50.3956,18.6345,2025-01-12,28.4,6.4,56.9
Katowice,50.2643,19.0235,2025-01-13,38.7,-0.8,76.5
Sosnowiec,50.2779,19.1267,2025-01-13,24.1,-10.0,58.8
Dąbrowa Górnicza,50.3215,19.1949,2025-01-13,35.2,-0.3,64.8
Czeladź,50.3173,19.0705,2025-01-13,33.8,-3.9,44.1
Mysłowice,50.2422,19.1383,2025-01-13,31.4,3.0,67.4
Piekary Śląskie,50.3802,18.9265,2025-01-13,21.8,3.6,51.7
Chorzów,50.3058,18.9742,2025-01-13,31.4,-4.8,71.7
Bytom,50.35,18.91,2025-01-13,34.7,1.0,58.9
Zabrze,50.3249,18.7858,2025-01-13,41.5,3.9,73.3
Gliwice,50.31,18.67,2025-01-13,25.9,0.5,61.1
Mikołów,50.179,18.904,2025-01-13,31.1,8.6,86.3
Ruda Śląska,50.2584,18.8563,2025-01-13,37.7,3.4,63.2
Tarnowskie Góry,50.4455,18.8615,2025-01-13,32.1,8.1,38.1
Pyskowice,50.3956,18.6345,2025-01-13,27.2,6.1,55.0
Katowice,50.2643,19.0235,2025-01-14,36.9,-0.8,75.6
Sosnowiec,50.2779,19.1267,2025-01-14,23.6,-10.1,57.2
Dąbrowa Górnicza,50.3215,19.1949,2025-01-14,35.4,-0.3,64.8
Czeladź,50.3173,19.0705,2025-01-14,32.3,-3.8,43.1
Mysłowice,50.2422,19.1383,2025-01-14,31.2,3.1,68.6
Piekary Śląskie,50.3802,18.9265,2025-01-14,21.2,3.7,53.4
Chorzów,50.3058,18.9742,2025-01-14,31.8,-4.6,72.1
Bytom,50.35,18.91,2025-01-14,35.2,1.0,59.5
Zabrze,50.3249,18.7858,2025-01-14,42.3,4.0,76.4
Gliwice,50.31,18.67,2025-01-14,25.9,0.5,61.3
Mikołów,50.179,18.904,2025-01-14,29.5,8.9,83.9
Ruda Śląska,50.2584,18.8563,2025-01-14,39.2,3.2,62.9
Tarnowskie Góry,50.4455,18.8615,2025-01-14,32.6,8.5,39.2
Pyskowice,50.3956,18.6345,2025-01-14,26.6,6.4,54.8
Katowice,50.2643,19.0235,2025-01-15,37.0,-0.8,73.2
Sosnowiec,50.2779,19.1267,2025-01-15,23.2,-9.7,55.7
Dąbrowa Górnicza,50.3215,19.1949,2025-01-15,36.6,-0.3,64.5
Czeladź,50.3173,19.0705,2025-01-15,32.0,-3.8,43.1
Mysłowice,50.2422,19.1383,2025-01-15,30.2,3.2,66.6
Piekary Śląskie,50.3802,18.9265,2025-01-15,20.9,3.8,54.3
Chorzów,50.3058,18.9742,2025-01-15,33.0,-4.5,71.0
Bytom,50.35,18.91,2025-01-15,36.8,1.0,58.5
Zabrze,50.3249,18.7858,2025-01-15,41.6,4.1,74.2
Gliwice,50.31,18.67,2025-01-15,25.0,0.5,59.4
Mikołów,50.179,18.904,2025-01-15,28.2,9.2,81.3
Ruda Śląska,50.2584,18.8563,2025-01-15,37.7,3.2,63.6
Tarnowskie Góry,50.4455,18.8615,2025-01-15,33.1,8.2,37.3
Pyskowice,50.3956,18.6345,2025-01-15,26.5,6.4,57.2
Katowice,50.2643,19.0235,2025-01-16,35.2,-0.8,75.4
Sosnowiec,50.2779,19.1267,2025-01-16,23.6,-9.8,55.2
Dąbrowa Górnicza,50.3215,19.1949,2025-01-16,35.3,-0.3,66.0
Czeladź,50.3173,19.0705,2025-01-16,33.3,-3.9,43.2
Mysłowice,50.2422,19.1383,2025-01-16,30.1,3.2,68.3
Piekary Śląskie,50.3802,18.9265,2025-01-16,20.8,3.7,53.2
Chorzów,50.3058,18.9742,2025-01-16,32.4,-4.4,68.4
Bytom,50.35,18.91,2025-01-16,38.0,1.0,57.2
Zabrze,50.3249,18.7858,2025-01-16,43.3,4.1,77.9
Gliwice,50.31,18.67,2025-01-16,25.5,0.5,60.6
Mikołów,50.179,18.904,2025-01-16,28.2,8.9,85.0
Ruda Śląska,50.2584,18.8563,2025-01-16,37.1,3.1,65.5
Tarnowskie Góry,50.4455,18.8615,2025-01-16,33.4,8.3,38.8
Pyskowice,50.3956,18.6345,2025-01-16,27.6,6.1,59.2
Katowice,50.2643,19.0235,2025-01-17,35.5,-0.8,78.0
Sosnowiec,50.2779,19.1267,2025-01-17,23.9,-9.5,52.8
Dąbrowa Górnicza,50.3215,19.1949,2025-01-17,36.7,-0.3,66.6
Czeladź,50.3173,19.0705,2025-01-17,32.1,-4.0,42.9
Mysłowice,50.2422,19.1383,2025-01-17,30.0,3.1,65.2
Piekary Śląskie,50.3802,18.9265,2025-01-17,21.2,3.7,55.5
Chorzów,50.3058,18.9742,2025-01-17,30.8,-4.4,70.7
Bytom,50.35,18.91,2025-01-17,39.1,1.0,57.3
Zabrze,50.3249,18.7858,2025-01-17,43.6,4.1,76.9
Gliwice,50.31,18.67,2025-01-17,25.0,0.5,60.0
Mikołów,50.179,18.904,2025-01-17,27.7,8.5,82.6
Ruda Śląska,50.2584,18.8563,2025-01-17,37.2,3.0,63.8
Tarnowskie Góry,50.4455,18.8615,2025-01-17,33.8,8.3,39.3
Pyskowice,50.3956,18.6345,2025-01-17,28.5,6.2,61.4
Katowice,50.2643,19.0235,2025-01-18,37.2,-0.8,75.2
Sosnowiec,50.2779,19.1267,2025-01-18,23.2,-9.5,54.5
Dąbrowa Górnicza,50.3215,19.1949,2025-01-18,36.0,-0.3,63.9
Czeladź,50.3173,19.0705,2025-01-18,30.7,-4.2,44.1
Mysłowice,50.2422,19.1383,2025-01-18,29.6,3.2,67.0
Piekary Śląskie,50.3802,18.9265,2025-01-18,21.8,3.8,55.5
Chorzów,50.3058,18.9742,2025-01-18,31.1,-4.6,73.2
Bytom,50.35,18.91,2025-01-18,39.5,1.0,55.8
Zabrze,50.3249,18.7858,2025-01-18,43.8,4.1,77.9
Gliwice,50.31,18.67,2025-01-18,24.9,0.5,59.7
Mikołów,50.179,18.904,2025-01-18,26.7,8.8,84.3
Ruda Śląska,50.2584,18.8563,2025-01-18,38.3,2.9,63.5
Tarnowskie Góry,50.4455,18.8615,2025-01-18,33.8,8.0,37.4
Pyskowice,50.3956,18.6345,2025-01-18,29.1,6.4,61.7
Katowice,50.2643,19.0235,2025-01-19,35.6,-0.8,72.8
Sosnowiec,50.2779,19.1267,2025-01-19,23.0,-9.7,55.1
Dąbrowa Górnicza,50.3215,19.1949,2025-01-19,36.1,-0.3,63.0
Czeladź,50.3173,19.0705,2025-01-19,30.6,-4.2,44.1
Mysłowice,50.2422,19.1383,2025-01-19,29.4,3.1,69.9
Piekary Śląskie,50.3802,18.9265,2025-01-19,22.5,3.8,55.0
Chorzów,50.3058,18.9742,2025-01-19,29.9,-4.4,73.2
Bytom,50.35,18.91,2025-01-19,37.9,1.0,56.9
Zabrze,50.3249,18.7858,2025-01-19,44.8,3.9,76.8
Gliwice,50.31,18.67,2025-01-19,25.1,0.5,59.7
Mikołów,50.179,18.904,2025-01-19,26.3,8.8,82.1
Ruda Śląska,50.2584,18.8563,2025-01-19,38.4,2.8,64.1
Tarnowskie Góry,50.4455,18.8615,2025-01-19,33.1,8.2,37.7
Pyskowice,50.3956,18.6345,2025-01-19,28.2,6.6,59.9
Katowice,50.2643,19.0235,2025-01-20,34.7,-0.8,71.0
Sosnowiec,50.2779,19.1267,2025-01-20,22.7,-9.4,55.5
Dąbrowa Górnicza,50.3215,19.1949,2025-01-20,36.9,-0.3,64.0
Czeladź,50.3173,19.0705,2025-01-20,29.4,-4.0,43.9
Mysłowice,50.2422,19.1383,2025-01-20,28.0,3.2,72.7
Piekary Śląskie,50.3802,18.9265,2025-01-20,21.7,4.0,57.3
Chorzów,50.3058,18.9742,2025-01-20,30.1,-4.6,73.3
Bytom,50.35,18.91,2025-01-20,38.9,1.0,54.7
Zabrze,50.3249,18.7858,2025-01-20,44.1,3.8,80.2
Gliwice,50.31,18.67,2025-01-20,25.2,0.5,58.8
Mikołów,50.179,18.904,2025-01-20,26.0,8.4,85.1
Ruda Śląska,50.2584,18.8563,2025-01-20,36.7,2.9,65.5
Tarnowskie Góry,50.4455,18.8615,2025-01-20,33.7,8.1,37.3
Pyskowice,50.3956,18.6345,2025-01-20,29.1,6.6,61.6
Katowice,50.2643,19.0235,2025-01-21,35.5,-0.8,73.1
Sosnowiec,50.2779,19.1267,2025-01-21,22.6,-9.3,58.0
Dąbrowa Górnicza,50.3215,19.1949,2025-01-21,35.2,-0.3,67.0
Czeladź,50.3173,19.0705,2025-01-21,28.8,-4.0,44.6
Mysłowice,50.2422,19.1383,2025-01-21,28.1,3.1,71.6
Piekary Śląskie,50.3802,18.9265,2025-01-21,21.1,4.1,58.8
Chorzów,50.3058,18.9742,2025-01-21,30.4,-4.5,75.0
Bytom,50.35,18.91,2025-01-21,39.7,1.0,53.6
Zabrze,50.3249,18.7858,2025-01-21,45.2,3.6,82.8
Gliwice,50.31,18.67,2025-01-21,24.8,0.5,57.4
Mikołów,50.179,18.904,2025-01-21,25.2,8.5,88.1
Ruda Śląska,50.2584,18.8563,2025-01-21,36.3,3.0,66.4
Tarnowskie Góry,50.4455,18.8615,2025-01-21,35.1,7.8,36.7
Pyskowice,50.3956,18.6345,2025-01-21,28.9,6.5,64.0
Katowice,50.2643,19.0235,2025-01-22,33.8,-0.8,74.4
Sosnowiec,50.2779,19.1267,2025-01-22,23.0,-9.4,60.3
Dąbrowa Górnicza,50.3215,19.1949,2025-01-22,34.0,-0.3,68.5
Czeladź,50.3173,19.0705,2025-01-22,27.8,-4.0,44.1
Mysłowice,50.2422,19.1383,2025-01-22,27.1,3.2,68.9
Piekary Śląskie,50.3802,18.9265,2025-01-22,20.1,4.1,56.1
Chorzów,50.3058,18.9742,2025-01-22,30.8,-4.6,75.5
Bytom,50.35,18.91,2025-01-22,41.7,1.0,51.4
Zabrze,50.3249,18.7858,2025-01-22,43.4,3.6,84.6
Gliwice,50.31,18.67,2025-01-22,24.6,0.5,59.4
Mikołów,50.179,18.904,2025-01-22,26.1,8.5,86.0
Ruda Śląska,50.2584,18.8563,2025-01-22,34.9,3.0,66.7
Tarnowskie Góry,50.4455,18.8615,2025-01-22,33.5,8.1,37.6
Pyskowice,50.3956,18.6345,2025-01-22,27.8,6.8,63.8
Katowice,50.2643,19.0235,2025-01-23,33.3,-0.8,77.3
Sosnowiec,50.2779,19.1267,2025-01-23,23.4,-9.1,57.4
Dąbrowa Górnicza,50.3215,19.1949,2025-01-23,33.3,-0.3,69.4
Czeladź,50.3173,19.0705,2025-01-23,28.1,-3.9,42.3
Mysłowice,50.2422,19.1383,2025-01-23,27.7,3.2,66.8
Piekary Śląskie,50.3802,18.9265,2025-01-23,21.0,4.2,54.9
Chorzów,50.3058,18.9742,2025-01-23,30.8,-4.6,73.4
Bytom,50.35,18.91,2025-01-23,42.8,1.0,51.1
Zabrze,50.3249,18.7858,2025-01-23,42.9,3.8,86.5
Gliwice,50.31,18.67,2025-01-23,24.8,0.5,59.5
Mikołów,50.179,18.904,2025-01-23,24.9,8.2,84.3
Ruda Śląska,50.2584,18.8563,2025-01-23,33.7,2.9,63.9
Tarnowskie Góry,50.4455,18.8615,2025-01-23,34.5,7.8,39.1
Pyskowice,50.3956,18.6345,2025-01-23,29.1,7.1,63.3
Katowice,50.2643,19.0235,2025-01-24,32.9,-0.8,76.7
Sosnowiec,50.2779,19.1267,2025-01-24,23.6,-9.5,57.9
Dąbrowa Górnicza,50.3215,19.1949,2025-01-24,33.8,-0.3,72.9
Czeladź,50.3173,19.0705,2025-01-24,28.9,-3.8,40.9
Mysłowice,50.2422,19.1383,2025-01-24,27.3,3.2,65.7
Piekary Śląskie,50.3802,18.9265,2025-01-24,21.8,4.2,56.9
Chorzów,50.3058,18.9742,2025-01-24,30.9,-4.5,76.4
Bytom,50.35,18.91,2025-01-24,42.3,1.0,49.0
Zabrze,50.3249,18.7858,2025-01-24,40.8,3.6,86.5
Gliwice,50.31,18.67,2025-01-24,25.3,0.5,59.2
Mikołów,50.179,18.904,2025-01-24,24.6,8.2,88.2
Ruda Śląska,50.2584,18.8563,2025-01-24,33.3,2.9,62.9
Tarnowskie Góry,50.4455,18.8615,2025-01-24,33.6,8.0,39.1
Pyskowice,50.3956,18.6345,2025-01-24,28.1,6.9,64.6
Katowice,50.2643,19.0235,2025-01-25,34.4,-0.8,74.5
Sosnowiec,50.2779,19.1267,2025-01-25,23.5,-9.3,56.9
Dąbrowa Górnicza,50.3215,19.1949,2025-01-25,33.0,-0.3,69.7
Czeladź,50.3173,19.0705,2025-01-25,28.5,-3.6,41.1
Mysłowice,50.2422,19.1383,2025-01-25,27.4,3.3,66.1
Piekary Śląskie,50.3802,18.9265,2025-01-25,22.8,4.1,55.1
Chorzów,50.3058,18.9742,2025-01-25,32.3,-4.7,79.2
Bytom,50.35,18.91,2025-01-25,40.7,1.0,49.0
Zabrze,50.3249,18.7858,2025-01-25,39.4,3.5,82.7
Gliwice,50.31,18.67,2025-01-25,26.5,0.5,61.9
Mikołów,50.179,18.904,2025-01-25,24.7,7.9,91.3
Ruda Śląska,50.2584,18.8563,2025-01-25,32.1,2.8,59.8
Tarnowskie Góry,50.4455,18.8615,2025-01-25,32.5,7.8,38.2
Pyskowice,50.3956,18.6345,2025-01-25,29.4,7.1,62.9
Katowice,50.2643,19.0235,2025-01-26,34.0,-0.8,76.5
Sosnowiec,50.2779,19.1267,2025-01-26,22.9,-9.5,54.8
Dąbrowa Górnicza,50.3215,19.1949,2025-01-26,32.7,-0.3,68.8
Czeladź,50.3173,19.0705,2025-01-26,29.1,-3.7,42.8
Mysłowice,50.2422,19.1383,2025-01-26,26.0,3.3,66.5
Piekary Śląskie,50.3802,18.9265,2025-01-26,23.1,4.0,54.1
Chorzów,50.3058,18.9742,2025-01-26,31.1,-4.8,82.5
Bytom,50.35,18.91,2025-01-26,40.5,1.0,49.6
Zabrze,50.3249,18.7858,2025-01-26,38.5,3.4,81.3
Gliwice,50.31,18.67,2025-01-26,27.0,0.5,59.1
Mikołów,50.179,18.904,2025-01-26,24.6,8.2,90.8
Ruda Śląska,50.2584,18.8563,2025-01-26,30.6,2.9,58.9
Tarnowskie Góry,50.4455,18.8615,2025-01-26,31.7,8.2,38.4
Pyskowice,50.3956,18.6345,2025-01-26,30.1,6.8,63.1
Katowice,50.2643,19.0235,2025-01-27,35.0,-0.8,78.6
Sosnowiec,50.2779,19.1267,2025-01-27,22.9,-9.1,54.4
Dąbrowa Górnicza,50.3215,19.1949,2025-01-27,33.4,-0.3,66.5
Czeladź,50.3173,19.0705,2025-01-27,28.0,-3.8,41.5
Mysłowice,50.2422,19.1383,2025-01-27,26.1,3.2,68.2
Piekary Śląskie,50.3802,18.9265,2025-01-27,23.5,3.9,53.7
Chorzów,50.3058,18.9742,2025-01-27,29.9,-4.7,83.3
Bytom,50.35,18.91,2025-01-27,40.5,1.0,47.2
Zabrze,50.3249,18.7858,2025-01-27,36.8,3.3,78.6
Gliwice,50.31,18.67,2025-01-27,26.0,0.5,57.0
Mikołów,50.179,18.904,2025-01-27,25.6,8.0,89.4
Ruda Śląska,50.2584,18.8563,2025-01-27,29.5,2.9,56.9
Tarnowskie Góry,50.4455,18.8615,2025-01-27,31.4,8.2,36.5
Pyskowice,50.3956,18.6345,2025-01-27,29.4,6.8,60.4
Katowice,50.2643,19.0235,2025-01-28,34.5,-0.8,81.6
Sosnowiec,50.2779,19.1267,2025-01-28,23.7,-9.3,53.2
Dąbrowa Górnicza,50.3215,19.1949,2025-01-28,31.8,-0.3,67.5
Czeladź,50.3173,19.0705,2025-01-28,28.7,-3.8,41.7
